name,latitude,longitude,wkt,street,side,length_m,est_spaces,zone
Southwest 9th Avenue (right),25.7635078,-80.2088029,"POLYGON((-80.2088320 25.7639455, -80.2087997 25.7630692, -80.2087738 25.7630700, -80.2088061 25.7639463, -80.2088320 25.7639455))",Southwest 9th Avenue,right,97.6,12,
Southwest 9th Avenue (left),25.7722052,-80.2092885,"POLYGON((-80.2093204 25.7726896, -80.2092826 25.7717200, -80.2092567 25.7717208, -80.2092945 25.7726904, -80.2093204 25.7726896))",Southwest 9th Avenue,left,108.0,13,
Southwest 9th Avenue (right),25.7722023,-80.2093803,"POLYGON((-80.2094121 25.7726867, -80.2093743 25.7717171, -80.2093484 25.7717179, -80.2093862 25.7726875, -80.2094121 25.7726867))",Southwest 9th Avenue,right,108.0,13,
Southwest 9th Avenue (left),25.7712422,-80.2092539,"POLYGON((-80.2092826 25.7717199, -80.2092511 25.7707639, -80.2092252 25.7707646, -80.2092567 25.7717206, -80.2092826 25.7717199))",Southwest 9th Avenue,left,106.5,13,
Southwest 9th Avenue (right),25.7712398,-80.2093456,"POLYGON((-80.2093743 25.7717174, -80.2093428 25.7707614, -80.2093169 25.7707621, -80.2093484 25.7717181, -80.2093743 25.7717174))",Southwest 9th Avenue,right,106.5,13,
Southwest 9th Avenue (left),25.7702802,-80.2092194,"POLYGON((-80.2092511 25.7707640, -80.2092137 25.7697956, -80.2091878 25.7697964, -80.2092252 25.7707648, -80.2092511 25.7707640))",Southwest 9th Avenue,left,107.9,13,
Southwest 9th Avenue (right),25.7702774,-80.2093112,"POLYGON((-80.2093428 25.7707612, -80.2093054 25.7697928, -80.2092795 25.7697936, -80.2093169 25.7707620, -80.2093428 25.7707612))",Southwest 9th Avenue,right,107.9,13,
Southwest 9th Avenue (left),25.7693158,-80.2091830,"POLYGON((-80.2092137 25.7697956, -80.2091782 25.7688353, -80.2091523 25.7688361, -80.2091878 25.7697964, -80.2092137 25.7697956))",Southwest 9th Avenue,left,107.0,13,
Southwest 9th Avenue (right),25.7693131,-80.2092747,"POLYGON((-80.2093054 25.7697928, -80.2092699 25.7688325, -80.2092440 25.7688333, -80.2092795 25.7697936, -80.2093054 25.7697928))",Southwest 9th Avenue,right,107.0,13,
Southwest 9th Avenue (left),25.7685770,-80.2091540,"POLYGON((-80.2091782 25.7688355, -80.2091557 25.7683176, -80.2091298 25.7683185, -80.2091523 25.7688364, -80.2091782 25.7688355))",Southwest 9th Avenue,left,57.7,6,
Southwest 9th Avenue (right),25.7685737,-80.2092457,"POLYGON((-80.2092699 25.7688322, -80.2092474 25.7683143, -80.2092215 25.7683152, -80.2092440 25.7688331, -80.2092699 25.7688322))",Southwest 9th Avenue,right,57.7,6,
Southwest 9th Avenue (left),25.7622240,-80.2092158,"POLYGON((-80.2088113 25.7625175, -80.2096360 25.7619491, -80.2096202 25.7619305, -80.2087955 25.7624989, -80.2088113 25.7625175))",Southwest 9th Avenue,left,104.1,13,
Southwest 9th Avenue (right),25.7622896,-80.2092715,"POLYGON((-80.2088671 25.7625831, -80.2096918 25.7620147, -80.2096760 25.7619961, -80.2088513 25.7625645, -80.2088671 25.7625831))",Southwest 9th Avenue,right,104.1,13,
Southwest 9th Avenue (left),25.7617437,-80.2099136,"POLYGON((-80.2096360 25.7619490, -80.2102069 25.7615570, -80.2101912 25.7615385, -80.2096203 25.7619305, -80.2096360 25.7619490))",Southwest 9th Avenue,left,72.0,8,
Southwest 9th Avenue (right),25.7618095,-80.2099693,"POLYGON((-80.2096917 25.7620147, -80.2102626 25.7616227, -80.2102469 25.7616042, -80.2096760 25.7619962, -80.2096917 25.7620147))",Southwest 9th Avenue,right,72.0,8,
Northwest 17th Street (left),25.7916401,-80.1990442,"POLYGON((-80.1988030 25.7916566, -80.1992860 25.7916470, -80.1992854 25.7916236, -80.1988024 25.7916332, -80.1988030 25.7916566))",Northwest 17th Street,left,48.4,4,
Northwest 17th Street (right),25.7917227,-80.1990462,"POLYGON((-80.1988050 25.7917392, -80.1992880 25.7917296, -80.1992874 25.7917062, -80.1988044 25.7917158, -80.1988050 25.7917392))",Northwest 17th Street,right,48.4,4,
Northwest 17th Street (left),25.7916268,-80.1996590,"POLYGON((-80.1992859 25.7916470, -80.2000329 25.7916300, -80.2000322 25.7916066, -80.1992852 25.7916236, -80.1992859 25.7916470))",Northwest 17th Street,left,74.9,8,
Northwest 17th Street (right),25.7917094,-80.1996614,"POLYGON((-80.1992882 25.7917296, -80.2000352 25.7917126, -80.2000345 25.7916892, -80.1992875 25.7917062, -80.1992882 25.7917296))",Northwest 17th Street,right,74.9,8,
Northwest 17th Street (left),25.7915812,-80.1950351,"POLYGON((-80.1947287 25.7915954, -80.1953417 25.7915904, -80.1953415 25.7915670, -80.1947285 25.7915720, -80.1947287 25.7915954))",Northwest 17th Street,left,61.4,6,
Northwest 17th Street (right),25.7916638,-80.1950359,"POLYGON((-80.1947295 25.7916780, -80.1953425 25.7916730, -80.1953423 25.7916496, -80.1947293 25.7916546, -80.1947295 25.7916780))",Northwest 17th Street,right,61.4,6,
Northwest 17th Street (left),25.7915549,-80.1961371,"POLYGON((-80.1956402 25.7915796, -80.1966347 25.7915537, -80.1966340 25.7915303, -80.1956395 25.7915562, -80.1956402 25.7915796))",Northwest 17th Street,left,99.7,12,
Northwest 17th Street (right),25.7916376,-80.1961398,"POLYGON((-80.1956429 25.7916622, -80.1966374 25.7916363, -80.1966367 25.7916129, -80.1956422 25.7916388, -80.1956429 25.7916622))",Northwest 17th Street,right,99.7,12,
Northwest 17th Street (left),25.7915258,-80.1971213,"POLYGON((-80.1966345 25.7915537, -80.1976090 25.7915213, -80.1976080 25.7914979, -80.1966335 25.7915303, -80.1966345 25.7915537))",Northwest 17th Street,left,97.7,12,
Northwest 17th Street (right),25.7916084,-80.1971246,"POLYGON((-80.1966379 25.7916363, -80.1976124 25.7916039, -80.1976114 25.7915805, -80.1966369 25.7916129, -80.1966379 25.7916363))",Northwest 17th Street,right,97.7,12,
Northwest 17th Street (left),25.7914962,-80.1980009,"POLYGON((-80.1976089 25.7915213, -80.1983937 25.7914944, -80.1983928 25.7914710, -80.1976080 25.7914979, -80.1976089 25.7915213))",Northwest 17th Street,left,78.7,9,
Northwest 17th Street (right),25.7915787,-80.1980043,"POLYGON((-80.1976124 25.7916039, -80.1983972 25.7915770, -80.1983963 25.7915536, -80.1976115 25.7915805, -80.1976124 25.7916039))",Northwest 17th Street,right,78.7,9,
Northwest 17th Street (left),25.7914784,-80.1985966,"POLYGON((-80.1983942 25.7914944, -80.1987995 25.7914859, -80.1987989 25.7914625, -80.1983936 25.7914710, -80.1983942 25.7914944))",Northwest 17th Street,left,40.6,3,
Northwest 17th Street (right),25.7915611,-80.1985987,"POLYGON((-80.1983964 25.7915770, -80.1988017 25.7915685, -80.1988011 25.7915451, -80.1983958 25.7915536, -80.1983964 25.7915770))",Northwest 17th Street,right,40.6,3,
Southeast 3rd Avenue (left),25.7710582,-80.1889380,"POLYGON((-80.1889191 25.7709164, -80.1889309 25.7712008, -80.1889568 25.7711999, -80.1889450 25.7709155, -80.1889191 25.7709164))",Southeast 3rd Avenue,left,31.7,2,
Southeast 3rd Avenue (right),25.7710612,-80.1888462,"POLYGON((-80.1888274 25.7709195, -80.1888392 25.7712039, -80.1888651 25.7712030, -80.1888533 25.7709186, -80.1888274 25.7709195))",Southeast 3rd Avenue,right,31.7,2,
Southeast 13th Street (left),25.7609281,-80.1909160,"POLYGON((-80.1919414 25.7611361, -80.1898966 25.7606974, -80.1898906 25.7607202, -80.1919354 25.7611589, -80.1919414 25.7611361))",Southeast 13th Street,left,210.7,29,
Southeast 13th Street (right),25.7608478,-80.1909372,"POLYGON((-80.1919626 25.7610557, -80.1899178 25.7606170, -80.1899118 25.7606398, -80.1919566 25.7610785, -80.1919626 25.7610557))",Southeast 13th Street,right,210.7,29,
Southeast 1st Street (left),25.7733733,-80.1927333,"POLYGON((-80.1935646 25.7733366, -80.1919012 25.7733866, -80.1919020 25.7734100, -80.1935655 25.7733600, -80.1935646 25.7733366))",Southeast 1st Street,left,166.8,22,
Southeast 1st Street (right),25.7732907,-80.1927303,"POLYGON((-80.1935616 25.7732540, -80.1918981 25.7733040, -80.1918990 25.7733274, -80.1935624 25.7732774, -80.1935616 25.7732540))",Southeast 1st Street,right,166.8,22,
Northwest 4th Avenue Circle (left),25.7939661,-80.2014417,"POLYGON((-80.2014241 25.7938026, -80.2014333 25.7941302, -80.2014592 25.7941296, -80.2014500 25.7938020, -80.2014241 25.7938026))",Northwest 4th Avenue Circle,left,36.5,3,
Northwest 4th Avenue Circle (right),25.7939681,-80.2013499,"POLYGON((-80.2013324 25.7938046, -80.2013416 25.7941322, -80.2013675 25.7941316, -80.2013583 25.7938040, -80.2013324 25.7938046))",Northwest 4th Avenue Circle,right,36.5,3,
Southeast 14th Terrace (left),25.7590483,-80.1915371,"POLYGON((-80.1926299 25.7595297, -80.1904558 25.7585461, -80.1904442 25.7585670, -80.1926183 25.7595506, -80.1926299 25.7595297))",Southeast 14th Terrace,left,243.9,34,
Southeast 14th Terrace (right),25.7589745,-80.1915782,"POLYGON((-80.1926711 25.7594558, -80.1904970 25.7584722, -80.1904854 25.7584931, -80.1926595 25.7594767, -80.1926711 25.7594558))",Southeast 14th Terrace,right,243.9,34,
Southwest Miami Avenue Road (left),25.7685397,-80.1939871,"POLYGON((-80.1936217 25.7688202, -80.1943687 25.7682775, -80.1943524 25.7682593, -80.1936055 25.7688020, -80.1936217 25.7688202))",Southwest Miami Avenue Road,left,96.2,12,
Southwest Miami Avenue Road (right),25.7686041,-80.1940447,"POLYGON((-80.1936794 25.7688845, -80.1944263 25.7683418, -80.1944101 25.7683236, -80.1936631 25.7688663, -80.1936794 25.7688845))",Southwest Miami Avenue Road,right,96.2,12,
Northwest 7th Avenue (left),25.7742680,-80.2061204,"POLYGON((-80.2060889 25.7737682, -80.2061259 25.7747685, -80.2061518 25.7747677, -80.2061148 25.7737674, -80.2060889 25.7737682))",Northwest 7th Avenue,left,111.4,14,
Northwest 7th Avenue (right),25.7742707,-80.2060286,"POLYGON((-80.2059972 25.7737710, -80.2060342 25.7747713, -80.2060601 25.7747705, -80.2060231 25.7737702, -80.2059972 25.7737710))",Northwest 7th Avenue,right,111.4,14,
Northwest 7th Avenue (left),25.7752477,-80.2061567,"POLYGON((-80.2061259 25.7747685, -80.2061615 25.7757276, -80.2061874 25.7757268, -80.2061518 25.7747677, -80.2061259 25.7747685))",Northwest 7th Avenue,left,106.8,13,
Northwest 7th Avenue (right),25.7752504,-80.2060649,"POLYGON((-80.2060342 25.7747713, -80.2060698 25.7757304, -80.2060957 25.7757296, -80.2060601 25.7747705, -80.2060342 25.7747713))",Northwest 7th Avenue,right,106.8,13,
Northwest 14th Terrace (left),25.7887747,-80.1993561,"POLYGON((-80.1987414 25.7888034, -80.1999716 25.7887695, -80.1999708 25.7887461, -80.1987406 25.7887800, -80.1987414 25.7888034))",Northwest 14th Terrace,left,123.4,16,
Northwest 14th Terrace (right),25.7888574,-80.1993589,"POLYGON((-80.1987442 25.7888860, -80.1999744 25.7888521, -80.1999736 25.7888287, -80.1987434 25.7888626, -80.1987442 25.7888860))",Northwest 14th Terrace,right,123.4,16,
Northeast 11th Terrace (left),25.7851029,-80.1936334,"POLYGON((-80.1932480 25.7851274, -80.1940197 25.7851017, -80.1940187 25.7850783, -80.1932470 25.7851040, -80.1932480 25.7851274))",Northeast 11th Terrace,left,77.4,9,
Northeast 11th Terrace (right),25.7851854,-80.1936367,"POLYGON((-80.1932514 25.7852100, -80.1940231 25.7851843, -80.1940221 25.7851609, -80.1932504 25.7851866, -80.1932514 25.7852100))",Northeast 11th Terrace,right,77.4,9,
Northwest Miami Court (left),25.7876003,-80.1951452,"POLYGON((-80.1951049 25.7869609, -80.1951596 25.7882407, -80.1951855 25.7882398, -80.1951308 25.7869600, -80.1951049 25.7869609))",Northwest Miami Court,left,142.6,19,
Northwest Miami Court (right),25.7876035,-80.1950535,"POLYGON((-80.1950132 25.7869640, -80.1950679 25.7882438, -80.1950938 25.7882429, -80.1950391 25.7869631, -80.1950132 25.7869640))",Northwest Miami Court,right,142.6,19,
Northwest Miami Court (left),25.7935534,-80.1957824,"POLYGON((-80.1957669 25.7929119, -80.1957719 25.7941949, -80.1957979 25.7941948, -80.1957929 25.7929118, -80.1957669 25.7929119))",Northwest Miami Court,left,142.8,19,
Northwest Miami Court (right),25.7935536,-80.1956906,"POLYGON((-80.1956751 25.7929122, -80.1956801 25.7941952, -80.1957061 25.7941951, -80.1957011 25.7929121, -80.1956751 25.7929122))",Northwest Miami Court,right,142.8,19,
Northwest Miami Court (left),25.7967144,-80.1958618,"POLYGON((-80.1957719 25.7941941, -80.1959257 25.7992352, -80.1959516 25.7992346, -80.1957978 25.7941935, -80.1957719 25.7941941))",Northwest Miami Court,left,561.4,81,
Northwest Miami Court (right),25.7967166,-80.1957700,"POLYGON((-80.1956802 25.7941964, -80.1958340 25.7992375, -80.1958599 25.7992369, -80.1957061 25.7941958, -80.1956802 25.7941964))",Northwest Miami Court,right,561.4,81,
Northwest Miami Court (left),25.7746110,-80.1946458,"POLYGON((-80.1946695 25.7750982, -80.1946481 25.7741234, -80.1946222 25.7741238, -80.1946436 25.7750987, -80.1946695 25.7750982))",Northwest Miami Court,left,108.5,13,
Northwest Miami Court (right),25.7746094,-80.1947376,"POLYGON((-80.1947612 25.7750966, -80.1947398 25.7741217, -80.1947139 25.7741222, -80.1947353 25.7750970, -80.1947612 25.7750966))",Northwest Miami Court,right,108.5,13,
Southwest 8th Court (left),25.7654999,-80.2080660,"POLYGON((-80.2080974 25.7659804, -80.2080605 25.7650185, -80.2080346 25.7650193, -80.2080715 25.7659812, -80.2080974 25.7659804))",Southwest 8th Court,left,107.1,13,
Southwest 8th Court (right),25.7654970,-80.2081577,"POLYGON((-80.2081891 25.7659776, -80.2081522 25.7650157, -80.2081263 25.7650165, -80.2081632 25.7659784, -80.2081891 25.7659776))",Southwest 8th Court,right,107.1,13,
Southwest 8th Court (left),25.7647086,-80.2080421,"POLYGON((-80.2080605 25.7650180, -80.2080497 25.7643989, -80.2080238 25.7643992, -80.2080346 25.7650183, -80.2080605 25.7650180))",Southwest 8th Court,left,68.9,8,
Southwest 8th Court (right),25.7647073,-80.2081339,"POLYGON((-80.2081522 25.7650167, -80.2081414 25.7643976, -80.2081155 25.7643979, -80.2081263 25.7650170, -80.2081522 25.7650167))",Southwest 8th Court,right,68.9,8,
Southwest 8th Court (left),25.7693419,-80.2083466,"POLYGON((-80.2083821 25.7698236, -80.2083370 25.7688593, -80.2083111 25.7688603, -80.2083562 25.7698246, -80.2083821 25.7698236))",Southwest 8th Court,left,107.4,13,
Southwest 8th Court (right),25.7693385,-80.2084383,"POLYGON((-80.2084738 25.7698201, -80.2084287 25.7688558, -80.2084028 25.7688568, -80.2084479 25.7698211, -80.2084738 25.7698201))",Southwest 8th Court,right,107.4,13,
Southwest 8th Court (left),25.7683808,-80.2083012,"POLYGON((-80.2083370 25.7688599, -80.2082913 25.7679008, -80.2082654 25.7679018, -80.2083111 25.7688609, -80.2083370 25.7688599))",Southwest 8th Court,left,106.9,13,
Southwest 8th Court (right),25.7683773,-80.2083929,"POLYGON((-80.2084287 25.7688563, -80.2083830 25.7678972, -80.2083571 25.7678982, -80.2084028 25.7688573, -80.2084287 25.7688563))",Southwest 8th Court,right,106.9,13,
Northwest 3rd Street (left),25.7769759,-80.1944865,"POLYGON((-80.1937203 25.7770091, -80.1952535 25.7769661, -80.1952527 25.7769427, -80.1937195 25.7769857, -80.1937203 25.7770091))",Northwest 3rd Street,left,153.8,20,
Northwest 3rd Street (right),25.7770585,-80.1944893,"POLYGON((-80.1937231 25.7770917, -80.1952563 25.7770487, -80.1952555 25.7770253, -80.1937223 25.7770683, -80.1937231 25.7770917))",Northwest 3rd Street,right,153.8,20,
Southwest 22nd Road (left),25.7559026,-80.2033143,"POLYGON((-80.2028336 25.7553430, -80.2037742 25.7564762, -80.2037950 25.7564622, -80.2028544 25.7553290, -80.2028336 25.7553430))",Southwest 22nd Road,left,157.5,21,
Southwest 22nd Road (right),25.7559521,-80.2032408,"POLYGON((-80.2027601 25.7553925, -80.2037007 25.7565257, -80.2037215 25.7565117, -80.2027809 25.7553785, -80.2027601 25.7553925))",Southwest 22nd Road,right,157.5,21,
Southwest 22nd Road (left),25.7570630,-80.2042764,"POLYGON((-80.2037741 25.7564760, -80.2047580 25.7576639, -80.2047788 25.7576499, -80.2037949 25.7564621, -80.2037741 25.7564760))",Southwest 22nd Road,left,165.0,22,
Southwest 22nd Road (right),25.7571124,-80.2042029,"POLYGON((-80.2037005 25.7565255, -80.2046844 25.7577133, -80.2047052 25.7576994, -80.2037213 25.7565115, -80.2037005 25.7565255))",Southwest 22nd Road,right,165.0,22,
Southwest 22nd Road (left),25.7583649,-80.2053809,"POLYGON((-80.2048753 25.7577868, -80.2058660 25.7589572, -80.2058866 25.7589431, -80.2048959 25.7577727, -80.2048753 25.7577868))",Southwest 22nd Road,left,163.8,22,
Southwest 22nd Road (right),25.7584151,-80.2053080,"POLYGON((-80.2048023 25.7578369, -80.2057930 25.7590073, -80.2058136 25.7589932, -80.2048229 25.7578228, -80.2048023 25.7578369))",Southwest 22nd Road,right,163.8,22,
Southwest 22nd Road (left),25.7594727,-80.2063135,"POLYGON((-80.2059116 25.7590111, -80.2066946 25.7599484, -80.2067153 25.7599343, -80.2059323 25.7589970, -80.2059116 25.7590111))",Southwest 22nd Road,left,130.6,17,
Southwest 22nd Road (right),25.7595224,-80.2062401,"POLYGON((-80.2058383 25.7590608, -80.2066213 25.7599981, -80.2066420 25.7599840, -80.2058590 25.7590467, -80.2058383 25.7590608))",Southwest 22nd Road,right,130.6,17,
West Flagler Street (left),25.7738809,-80.2035118,"POLYGON((-80.2043886 25.7738744, -80.2026351 25.7738640, -80.2026350 25.7738874, -80.2043885 25.7738977, -80.2043886 25.7738744))",West Flagler Street,left,175.8,23,
West Flagler Street (right),25.7737982,-80.2035124,"POLYGON((-80.2043892 25.7737917, -80.2026357 25.7737814, -80.2026356 25.7738047, -80.2043891 25.7738151, -80.2043892 25.7737917))",West Flagler Street,right,175.8,23,
West Flagler Street (left),25.7738830,-80.2024286,"POLYGON((-80.2026426 25.7738640, -80.2022137 25.7738786, -80.2022147 25.7739020, -80.2026435 25.7738874, -80.2026426 25.7738640))",West Flagler Street,left,43.0,4,
West Flagler Street (right),25.7738004,-80.2024252,"POLYGON((-80.2026391 25.7737814, -80.2022103 25.7737960, -80.2022112 25.7738194, -80.2026401 25.7738048, -80.2026391 25.7737814))",West Flagler Street,right,43.0,4,
West Flagler Street (left),25.7740987,-80.1941376,"POLYGON((-80.1935963 25.7741276, -80.1946798 25.7740932, -80.1946789 25.7740698, -80.1935954 25.7741042, -80.1935963 25.7741276))",West Flagler Street,left,108.7,13,
West Flagler Street (right),25.7741813,-80.1941409,"POLYGON((-80.1935996 25.7742102, -80.1946831 25.7741758, -80.1946822 25.7741524, -80.1935987 25.7741868, -80.1935996 25.7742102))",West Flagler Street,right,108.7,13,
West Flagler Street (left),25.7748261,-80.1986530,"POLYGON((-80.1984381 25.7749321, -80.1988792 25.7747411, -80.1988680 25.7747200, -80.1984268 25.7749111, -80.1984381 25.7749321))",West Flagler Street,left,49.1,5,
West Flagler Street (right),25.7749005,-80.1986928,"POLYGON((-80.1984778 25.7750066, -80.1989190 25.7748155, -80.1989077 25.7747945, -80.1984666 25.7749855, -80.1984778 25.7750066))",West Flagler Street,right,49.1,5,
Southeast 9th Street (left),25.7655058,-80.1927631,"POLYGON((-80.1932762 25.7654847, -80.1922496 25.7655035, -80.1922501 25.7655269, -80.1932767 25.7655081, -80.1932762 25.7654847))",Southeast 9th Street,left,102.9,13,
Southeast 9th Street (right),25.7654232,-80.1927613,"POLYGON((-80.1932743 25.7654021, -80.1922477 25.7654209, -80.1922482 25.7654443, -80.1932748 25.7654255, -80.1932743 25.7654021))",Southeast 9th Street,right,102.9,13,
Northwest 3rd Avenue (left),25.7744087,-80.1986827,"POLYGON((-80.1984119 25.7740640, -80.1989320 25.7747664, -80.1989535 25.7747535, -80.1984335 25.7740510, -80.1984119 25.7740640))",Northwest 3rd Avenue,left,94.0,11,
Northwest 3rd Avenue (right),25.7744546,-80.1986064,"POLYGON((-80.1983356 25.7741098, -80.1988556 25.7748123, -80.1988772 25.7747993, -80.1983571 25.7740969, -80.1983356 25.7741098))",Northwest 3rd Avenue,right,94.0,11,
Northwest 8th Street Road (left),25.7828978,-80.2081055,"POLYGON((-80.2086319 25.7833213, -80.2075967 25.7824571, -80.2075791 25.7824742, -80.2086143 25.7833384, -80.2086319 25.7833213))",Northwest 8th Street Road,left,141.5,18,
Northwest 8th Street Road (right),25.7828371,-80.2081679,"POLYGON((-80.2086943 25.7832607, -80.2076591 25.7823965, -80.2076415 25.7824136, -80.2086767 25.7832778, -80.2086943 25.7832607))",Northwest 8th Street Road,right,141.5,18,
Northwest 8th Street Road (left),25.7821070,-80.2072867,"POLYGON((-80.2075749 25.7824344, -80.2070193 25.7817656, -80.2069985 25.7817796, -80.2075541 25.7824484, -80.2075749 25.7824344))",Northwest 8th Street Road,left,93.0,11,
Northwest 8th Street Road (right),25.7820575,-80.2073602,"POLYGON((-80.2076484 25.7823849, -80.2070928 25.7817161, -80.2070720 25.7817301, -80.2076276 25.7823989, -80.2076484 25.7823849))",Northwest 8th Street Road,right,93.0,11,
Northwest 8th Street Road (left),25.7816437,-80.2068495,"POLYGON((-80.2070270 25.7817727, -80.2066895 25.7814975, -80.2066721 25.7815148, -80.2070096 25.7817900, -80.2070270 25.7817727))",Northwest 8th Street Road,left,45.6,4,
Northwest 8th Street Road (right),25.7815825,-80.2069112,"POLYGON((-80.2070886 25.7817114, -80.2067511 25.7814362, -80.2067337 25.7814535, -80.2070712 25.7817287, -80.2070886 25.7817114))",Northwest 8th Street Road,right,45.6,4,
South Miami Avenue (left),25.7640065,-80.1932669,"POLYGON((-80.1932409 25.7635259, -80.1932669 25.7644878, -80.1932928 25.7644872, -80.1932668 25.7635253, -80.1932409 25.7635259))",South Miami Avenue,left,107.1,13,
South Miami Avenue (right),25.7640086,-80.1931751,"POLYGON((-80.1931492 25.7635279, -80.1931752 25.7644898, -80.1932011 25.7644892, -80.1931751 25.7635273, -80.1931492 25.7635279))",South Miami Avenue,right,107.1,13,
South Miami Avenue (left),25.7727131,-80.1935016,"POLYGON((-80.1935227 25.7729024, -80.1935064 25.7725229, -80.1934805 25.7725238, -80.1934968 25.7729033, -80.1935227 25.7729024))",South Miami Avenue,left,42.3,4,
South Miami Avenue (right),25.7727100,-80.1935933,"POLYGON((-80.1936144 25.7728993, -80.1935981 25.7725198, -80.1935722 25.7725207, -80.1935885 25.7729002, -80.1936144 25.7728993))",South Miami Avenue,right,42.3,4,
Northwest 13th Street (left),25.7865194,-80.2100532,"POLYGON((-80.2091359 25.7865517, -80.2109712 25.7865106, -80.2109705 25.7864872, -80.2091352 25.7865283, -80.2091359 25.7865517))",Northwest 13th Street,left,184.0,25,
Northwest 13th Street (right),25.7866021,-80.2100555,"POLYGON((-80.2091382 25.7866343, -80.2109735 25.7865932, -80.2109728 25.7865698, -80.2091375 25.7866109, -80.2091382 25.7866343))",Northwest 13th Street,right,184.0,25,
Northwest 13th Street (left),25.7867905,-80.2089233,"POLYGON((-80.2087027 25.7868059, -80.2091443 25.7867986, -80.2091438 25.7867752, -80.2087022 25.7867825, -80.2087027 25.7868059))",Northwest 13th Street,left,44.3,4,
Northwest 13th Street (right),25.7868732,-80.2089249,"POLYGON((-80.2087044 25.7868885, -80.2091460 25.7868812, -80.2091455 25.7868578, -80.2087039 25.7868651, -80.2087044 25.7868885))",Northwest 13th Street,right,44.3,4,
Northwest 13th Street (left),25.7865882,-80.2073281,"POLYGON((-80.2068764 25.7866110, -80.2077805 25.7865889, -80.2077798 25.7865655, -80.2068757 25.7865876, -80.2068764 25.7866110))",Northwest 13th Street,left,90.7,11,
Northwest 13th Street (right),25.7866709,-80.2073306,"POLYGON((-80.2068789 25.7866936, -80.2077830 25.7866715, -80.2077823 25.7866481, -80.2068782 25.7866702, -80.2068789 25.7866936))",Northwest 13th Street,right,90.7,11,
Northwest 13th Street (left),25.7865641,-80.2082375,"POLYGON((-80.2077804 25.7865889, -80.2086955 25.7865627, -80.2086946 25.7865393, -80.2077795 25.7865655, -80.2077804 25.7865889))",Northwest 13th Street,left,91.8,11,
Northwest 13th Street (right),25.7866467,-80.2082404,"POLYGON((-80.2077833 25.7866715, -80.2086984 25.7866453, -80.2086975 25.7866219, -80.2077824 25.7866481, -80.2077833 25.7866715))",Northwest 13th Street,right,91.8,11,
Northwest 13th Street (left),25.7868488,-80.1975599,"POLYGON((-80.1971919 25.7868714, -80.1979288 25.7868496, -80.1979280 25.7868262, -80.1971911 25.7868480, -80.1971919 25.7868714))",Northwest 13th Street,left,73.9,8,
Northwest 13th Street (right),25.7869314,-80.1975630,"POLYGON((-80.1971949 25.7869540, -80.1979318 25.7869322, -80.1979310 25.7869088, -80.1971941 25.7869306, -80.1971949 25.7869540))",Northwest 13th Street,right,73.9,8,
Northwest 13th Street (left),25.7868267,-80.1982879,"POLYGON((-80.1979288 25.7868496, -80.1986479 25.7868272, -80.1986470 25.7868038, -80.1979279 25.7868262, -80.1979288 25.7868496))",Northwest 13th Street,left,72.1,8,
Northwest 13th Street (right),25.7869093,-80.1982910,"POLYGON((-80.1979319 25.7869322, -80.1986510 25.7869098, -80.1986501 25.7868864, -80.1979310 25.7869088, -80.1979319 25.7869322))",Northwest 13th Street,right,72.1,8,
Northwest 13th Street (left),25.7868059,-80.1989591,"POLYGON((-80.1986479 25.7868272, -80.1992712 25.7868080, -80.1992703 25.7867846, -80.1986470 25.7868038, -80.1986479 25.7868272))",Northwest 13th Street,left,62.5,7,
Northwest 13th Street (right),25.7868885,-80.1989622,"POLYGON((-80.1986510 25.7869098, -80.1992743 25.7868906, -80.1992734 25.7868672, -80.1986501 25.7868864, -80.1986510 25.7869098))",Northwest 13th Street,right,62.5,7,
Northwest 13th Street (left),25.7867859,-80.1995708,"POLYGON((-80.1992710 25.7868080, -80.1998715 25.7867871, -80.1998705 25.7867637, -80.1992700 25.7867846, -80.1992710 25.7868080))",Northwest 13th Street,left,60.2,6,
Northwest 13th Street (right),25.7868684,-80.1995743,"POLYGON((-80.1992746 25.7868906, -80.1998751 25.7868697, -80.1998741 25.7868463, -80.1992736 25.7868672, -80.1992746 25.7868906))",Northwest 13th Street,right,60.2,6,
Northwest 13th Street (left),25.7869377,-80.1945633,"POLYGON((-80.1940568 25.7869664, -80.1950708 25.7869324, -80.1950698 25.7869090, -80.1940558 25.7869430, -80.1940568 25.7869664))",Northwest 13th Street,left,101.7,12,
Northwest 13th Street (right),25.7870203,-80.1945667,"POLYGON((-80.1940602 25.7870490, -80.1950742 25.7870150, -80.1950732 25.7869916, -80.1940592 25.7870256, -80.1940602 25.7870490))",Northwest 13th Street,right,101.7,12,
Southeast 6th Street (left),25.7682128,-80.1912432,"POLYGON((-80.1921725 25.7683942, -80.1903198 25.7680086, -80.1903140 25.7680314, -80.1921666 25.7684170, -80.1921725 25.7683942))",Southeast 6th Street,left,190.6,26,
Southeast 6th Street (right),25.7681323,-80.1912639,"POLYGON((-80.1921931 25.7683137, -80.1903405 25.7679281, -80.1903346 25.7679509, -80.1921873 25.7683365, -80.1921931 25.7683137))",Southeast 6th Street,right,190.6,26,
