name,latitude,longitude,wkt,street,side,length_m,est_spaces,zone
Northwest 4th Avenue (left),25.7811196,-80.2013597,"POLYGON((-80.2013327 25.7806696, -80.2013607 25.7815703, -80.2013866 25.7815696, -80.2013586 25.7806689, -80.2013327 25.7806696))",Northwest 4th Avenue,left,100.3,12,
Northwest 4th Avenue (right),25.7811219,-80.2012679,"POLYGON((-80.2012410 25.7806719, -80.2012690 25.7815726, -80.2012949 25.7815719, -80.2012669 25.7806712, -80.2012410 25.7806719))",Northwest 4th Avenue,right,100.3,12,
Northwest 4th Avenue (left),25.7898332,-80.2024279,"POLYGON((-80.2016434 25.7895352, -80.2032019 25.7901526, -80.2032124 25.7901312, -80.2016538 25.7895139, -80.2016434 25.7895352))",Northwest 4th Avenue,left,170.7,23,
Northwest 4th Avenue (right),25.7899089,-80.2023909,"POLYGON((-80.2016064 25.7896109, -80.2031650 25.7902282, -80.2031754 25.7902069, -80.2016169 25.7895895, -80.2016064 25.7896109))",Northwest 4th Avenue,right,170.7,23,
Northwest 4th Avenue (left),25.7906518,-80.2016017,"POLYGON((-80.2016522 25.7916549, -80.2015770 25.7896480, -80.2015511 25.7896488, -80.2016263 25.7916557, -80.2016522 25.7916549))",Northwest 4th Avenue,left,223.5,31,
Northwest 4th Avenue (right),25.7906491,-80.2016934,"POLYGON((-80.2017440 25.7916521, -80.2016688 25.7896452, -80.2016429 25.7896460, -80.2017181 25.7916529, -80.2017440 25.7916521))",Northwest 4th Avenue,right,223.5,31,
Northwest 5th Court (left),25.7910307,-80.2038454,"POLYGON((-80.2035909 25.7904651, -80.2040756 25.7916047, -80.2040998 25.7915963, -80.2036151 25.7904568, -80.2035909 25.7904651))",Northwest 5th Court,left,135.8,18,
Northwest 5th Court (right),25.7910603,-80.2037596,"POLYGON((-80.2035052 25.7904947, -80.2039899 25.7916342, -80.2040141 25.7916259, -80.2035294 25.7904863, -80.2035052 25.7904947))",Northwest 5th Court,right,135.8,18,
Northeast 15th Terrace (left),25.7900348,-80.1898747,"POLYGON((-80.1906731 25.7900066, -80.1890758 25.7900395, -80.1890763 25.7900629, -80.1906736 25.7900300, -80.1906731 25.7900066))",Northeast 15th Terrace,left,160.1,21,
Northeast 15th Terrace (right),25.7899521,-80.1898726,"POLYGON((-80.1906710 25.7899240, -80.1890737 25.7899569, -80.1890742 25.7899803, -80.1906715 25.7899474, -80.1906710 25.7899240))",Northeast 15th Terrace,right,160.1,21,
Northwest 9th Avenue (left),25.7815635,-80.2093376,"POLYGON((-80.2093518 25.7807275, -80.2092974 25.7823987, -80.2093233 25.7823994, -80.2093778 25.7807282, -80.2093518 25.7807275))",Northwest 9th Avenue,left,186.1,25,
Northwest 9th Avenue (right),25.7815610,-80.2092458,"POLYGON((-80.2092601 25.7807251, -80.2092056 25.7823963, -80.2092316 25.7823970, -80.2092860 25.7807258, -80.2092601 25.7807251))",Northwest 9th Avenue,right,186.1,25,
