name,latitude,longitude,wkt,zone,street,side,length_m,est_spaces,ambiguous_band_m,lane_offset
zone 40712 · Southwest 22nd Terrace (left),25.7491795,-80.2454353,"POLYGON((-80.2450012 25.7492036, -80.2458702 25.7491789, -80.2458694 25.7491554, -80.2450004 25.7491801, -80.2450012 25.7492036))",40712,Southwest 22nd Terrace,left,87.2,13,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Terrace (right),25.7492627,-80.2454382,"POLYGON((-80.2450033 25.7492633, -80.2458723 25.7492386, -80.2458731 25.7492621, -80.2450041 25.7492868, -80.2450033 25.7492633))",40712,Southwest 22nd Terrace,right,87.2,13,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 32nd Avenue (left),25.7496705,-80.2463457,"POLYGON((-80.2463635 25.7498214, -80.2463539 25.7495189, -80.2463280 25.7495196, -80.2463376 25.7498221, -80.2463635 25.7498214))",40712,Southwest 32nd Avenue,left,33.5,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 32nd Avenue (right),25.7496681,-80.2464375,"POLYGON((-80.2464293 25.7498197, -80.2464197 25.7495172, -80.2464456 25.7495165, -80.2464552 25.7498190, -80.2464293 25.7498197))",40712,Southwest 32nd Avenue,right,33.5,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 31st Avenue (left),25.7499200,-80.2432296,"POLYGON((-80.2432437 25.7499654, -80.2432414 25.7498740, -80.2432154 25.7498746, -80.2432178 25.7499659, -80.2432437 25.7499654))",40712,Southwest 31st Avenue,left,10.1,1,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 31st Avenue (right),25.7499180,-80.2433213,"POLYGON((-80.2433095 25.7499640, -80.2433072 25.7498726, -80.2433331 25.7498721, -80.2433355 25.7499634, -80.2433095 25.7499640))",40712,Southwest 31st Avenue,right,10.1,1,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 29th Avenue (left),25.7498844,-80.2407097,"POLYGON((-80.2407251 25.7499497, -80.2407204 25.7498183, -80.2406944 25.7498190, -80.2406991 25.7499505, -80.2407251 25.7499497))",40712,Southwest 29th Avenue,left,14.5,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 29th Avenue (right),25.7498817,-80.2408015,"POLYGON((-80.2407908 25.7499478, -80.2407861 25.7498164, -80.2408121 25.7498156, -80.2408168 25.7499471, -80.2407908 25.7499478))",40712,Southwest 29th Avenue,right,14.5,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7501358,-80.2448290,"POLYGON((-80.2449087 25.7501220, -80.2447487 25.7501261, -80.2447494 25.7501496, -80.2449094 25.7501455, -80.2449087 25.7501220))",40712,Southwest 22nd Street,left,16.0,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7500526,-80.2448265,"POLYGON((-80.2449068 25.7500623, -80.2447468 25.7500664, -80.2447461 25.7500429, -80.2449061 25.7500388, -80.2449068 25.7500623))",40712,Southwest 22nd Street,right,16.0,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7502565,-80.2405617,"POLYGON((-80.2406914 25.7502411, -80.2404313 25.7502484, -80.2404321 25.7502719, -80.2406922 25.7502646, -80.2406914 25.7502411))",40712,Southwest 22nd Street,left,26.1,3,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7501733,-80.2405589,"POLYGON((-80.2406893 25.7501814, -80.2404292 25.7501887, -80.2404284 25.7501652, -80.2406885 25.7501579, -80.2406893 25.7501814))",40712,Southwest 22nd Street,right,26.1,3,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7501748,-80.2447234,"POLYGON((-80.2442703 25.7501981, -80.2451771 25.7501749, -80.2451764 25.7501514, -80.2442696 25.7501746, -80.2442703 25.7501981))",40712,Southwest 22nd Street,left,91.0,13,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7502579,-80.2447259,"POLYGON((-80.2442722 25.7502578, -80.2451790 25.7502346, -80.2451797 25.7502581, -80.2442729 25.7502813, -80.2442722 25.7502578))",40712,Southwest 22nd Street,right,91.0,13,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7502762,-80.2411324,"POLYGON((-80.2409839 25.7502925, -80.2412818 25.7502834, -80.2412810 25.7502599, -80.2409831 25.7502690, -80.2409839 25.7502925))",40712,Southwest 22nd Street,left,29.9,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7503594,-80.2411356,"POLYGON((-80.2409862 25.7503522, -80.2412841 25.7503431, -80.2412849 25.7503666, -80.2409870 25.7503757, -80.2409862 25.7503522))",40712,Southwest 22nd Street,right,29.9,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7503487,-80.2373766,"POLYGON((-80.2376545 25.7503272, -80.2370976 25.7503468, -80.2370986 25.7503703, -80.2376555 25.7503507, -80.2376545 25.7503272))",40712,Southwest 22nd Street,left,55.9,8,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7502656,-80.2373730,"POLYGON((-80.2376520 25.7502675, -80.2370951 25.7502871, -80.2370941 25.7502636, -80.2376510 25.7502440, -80.2376520 25.7502675))",40712,Southwest 22nd Street,right,55.9,8,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7504173,-80.2352861,"POLYGON((-80.2357560 25.7503897, -80.2348153 25.7504215, -80.2348162 25.7504450, -80.2357569 25.7504132, -80.2357560 25.7503897))",40712,Southwest 22nd Street,left,94.4,14,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7503342,-80.2352827,"POLYGON((-80.2357535 25.7503300, -80.2348128 25.7503618, -80.2348119 25.7503383, -80.2357526 25.7503065, -80.2357535 25.7503300))",40712,Southwest 22nd Street,right,94.4,14,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7503839,-80.2373177,"POLYGON((-80.2372177 25.7503988, -80.2374186 25.7503925, -80.2374177 25.7503690, -80.2372168 25.7503753, -80.2372177 25.7503988))",40712,Southwest 22nd Street,left,20.2,3,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7504671,-80.2373209,"POLYGON((-80.2372200 25.7504585, -80.2374209 25.7504522, -80.2374218 25.7504757, -80.2372209 25.7504820, -80.2372200 25.7504585))",40712,Southwest 22nd Street,right,20.2,3,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (left),25.7504455,-80.2353787,"POLYGON((-80.2351339 25.7504644, -80.2356243 25.7504502, -80.2356235 25.7504266, -80.2351331 25.7504409, -80.2351339 25.7504644))",40712,Southwest 22nd Street,left,49.2,7,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 22nd Street (right),25.7505287,-80.2353816,"POLYGON((-80.2351360 25.7505240, -80.2356264 25.7505098, -80.2356272 25.7505333, -80.2351368 25.7505476, -80.2351360 25.7505240))",40712,Southwest 22nd Street,right,49.2,7,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 33rd Avenue (left),25.7504134,-80.2486145,"POLYGON((-80.2486322 25.7505409, -80.2486228 25.7502851, -80.2485969 25.7502859, -80.2486063 25.7505417, -80.2486322 25.7505409))",40712,Southwest 33rd Avenue,left,28.3,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 33rd Avenue (right),25.7504106,-80.2487063,"POLYGON((-80.2486980 25.7505389, -80.2486886 25.7502831, -80.2487145 25.7502823, -80.2487239 25.7505381, -80.2486980 25.7505389))",40712,Southwest 33rd Avenue,right,28.3,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 30th Court (left),25.7507540,-80.2427041,"POLYGON((-80.2427207 25.7508206, -80.2427134 25.7506863, -80.2426875 25.7506875, -80.2426948 25.7508217, -80.2427207 25.7508206))",40712,Southwest 30th Court,left,14.9,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 30th Court (right),25.7507500,-80.2427958,"POLYGON((-80.2427865 25.7508177, -80.2427792 25.7506834, -80.2428051 25.7506823, -80.2428124 25.7508165, -80.2427865 25.7508177))",40712,Southwest 30th Court,right,14.9,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 25th Avenue (left),25.7507061,-80.2361877,"POLYGON((-80.2362029 25.7507712, -80.2361984 25.7506402, -80.2361725 25.7506409, -80.2361770 25.7507720, -80.2362029 25.7507712))",40712,Southwest 25th Avenue,left,14.5,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 25th Avenue (right),25.7507034,-80.2362794,"POLYGON((-80.2362687 25.7507693, -80.2362642 25.7506383, -80.2362901 25.7506375, -80.2362946 25.7507686, -80.2362687 25.7507693))",40712,Southwest 25th Avenue,right,14.5,2,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 21st Terrace (left),25.7509018,-80.2459132,"POLYGON((-80.2455939 25.7509223, -80.2462333 25.7509047, -80.2462326 25.7508812, -80.2455931 25.7508988, -80.2455939 25.7509223))",40712,Southwest 21st Terrace,left,64.1,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 21st Terrace (right),25.7509849,-80.2459160,"POLYGON((-80.2455959 25.7509820, -80.2462353 25.7509644, -80.2462361 25.7509879, -80.2455966 25.7510055, -80.2455959 25.7509820))",40712,Southwest 21st Terrace,right,64.1,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 32nd Avenue (left),25.7512762,-80.2464169,"POLYGON((-80.2464365 25.7514078, -80.2464231 25.7511435, -80.2463972 25.7511445, -80.2464106 25.7514089, -80.2464365 25.7514078))",40712,Southwest 32nd Avenue,left,29.3,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 32nd Avenue (right),25.7512723,-80.2465085,"POLYGON((-80.2465023 25.7514050, -80.2464889 25.7511407, -80.2465148 25.7511396, -80.2465282 25.7514040, -80.2465023 25.7514050))",40712,Southwest 32nd Avenue,right,29.3,4,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 31st Court (left),25.7513047,-80.2453842,"POLYGON((-80.2454078 25.7514601, -80.2453865 25.7511479, -80.2453606 25.7511493, -80.2453820 25.7514616, -80.2454078 25.7514601))",40712,Southwest 31st Court,left,34.6,5,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 31st Court (right),25.7512996,-80.2454758,"POLYGON((-80.2454735 25.7514564, -80.2454522 25.7511442, -80.2454780 25.7511427, -80.2454994 25.7514550, -80.2454735 25.7514564))",40712,Southwest 31st Court,right,34.6,5,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 21st Street (left),25.7515888,-80.2459448,"POLYGON((-80.2456217 25.7516117, -80.2462688 25.7515895, -80.2462678 25.7515660, -80.2456207 25.7515882, -80.2456217 25.7516117))",40712,Southwest 21st Street,left,64.9,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40712 · Southwest 21st Street (right),25.7516720,-80.2459482,"POLYGON((-80.2456242 25.7516713, -80.2462713 25.7516491, -80.2462723 25.7516726, -80.2456252 25.7516948, -80.2456242 25.7516713))",40712,Southwest 21st Street,right,64.9,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 27th Street (left),25.7410663,-80.2534915,"POLYGON((-80.2529587 25.7410922, -80.2540251 25.7410638, -80.2540243 25.7410403, -80.2529579 25.7410687, -80.2529587 25.7410922))",40713,Southwest 27th Street,left,107.0,15,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 27th Street (right),25.7411494,-80.2534942,"POLYGON((-80.2529606 25.7411519, -80.2540270 25.7411235, -80.2540278 25.7411470, -80.2529614 25.7411754, -80.2529606 25.7411519))",40713,Southwest 27th Street,right,107.0,15,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 26th Terrace (left),25.7420122,-80.2528902,"POLYGON((-80.2519413 25.7420521, -80.2538399 25.7419958, -80.2538390 25.7419723, -80.2519404 25.7420286, -80.2519413 25.7420521))",40713,Southwest 26th Terrace,left,190.5,28,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 26th Terrace (right),25.7420954,-80.2528931,"POLYGON((-80.2519434 25.7421118, -80.2538420 25.7420555, -80.2538429 25.7420790, -80.2519443 25.7421353, -80.2519434 25.7421118))",40713,Southwest 26th Terrace,right,190.5,28,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 26th Street (left),25.7429616,-80.2537373,"POLYGON((-80.2534046 25.7429844, -80.2540709 25.7429623, -80.2540699 25.7429388, -80.2534037 25.7429609, -80.2534046 25.7429844))",40713,Southwest 26th Street,left,66.8,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 26th Street (right),25.7430447,-80.2537406,"POLYGON((-80.2534070 25.7430440, -80.2540733 25.7430219, -80.2540742 25.7430454, -80.2534080 25.7430675, -80.2534070 25.7430440))",40713,Southwest 26th Street,right,66.8,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 25th Terrace (left),25.7437765,-80.2530713,"POLYGON((-80.2520411 25.7438181, -80.2541024 25.7437584, -80.2541016 25.7437348, -80.2520403 25.7437946, -80.2520411 25.7438181))",40713,Southwest 25th Terrace,left,206.8,30,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 25th Terrace (right),25.7438596,-80.2530743,"POLYGON((-80.2520432 25.7438777, -80.2541045 25.7438180, -80.2541053 25.7438415, -80.2520440 25.7439013, -80.2520432 25.7438777))",40713,Southwest 25th Terrace,right,206.8,30,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 25th Street (left),25.7445770,-80.2529913,"POLYGON((-80.2520625 25.7446146, -80.2539210 25.7445629, -80.2539202 25.7445394, -80.2520617 25.7445910, -80.2520625 25.7446146))",40713,Southwest 25th Street,left,186.4,27,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 25th Street (right),25.7446601,-80.2529942,"POLYGON((-80.2520645 25.7446742, -80.2539230 25.7446225, -80.2539238 25.7446461, -80.2520653 25.7446977, -80.2520645 25.7446742))",40713,Southwest 25th Street,right,186.4,27,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Terrace (left),25.7453725,-80.2531269,"POLYGON((-80.2520898 25.7454145, -80.2541648 25.7453540, -80.2541640 25.7453305, -80.2520890 25.7453909, -80.2520898 25.7454145))",40713,Southwest 24th Terrace,left,208.2,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Terrace (right),25.7454556,-80.2531298,"POLYGON((-80.2520919 25.7454741, -80.2541669 25.7454136, -80.2541677 25.7454372, -80.2520927 25.7454976, -80.2520919 25.7454741))",40713,Southwest 24th Terrace,right,208.2,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 25th Street (left),25.7454668,-80.2373456,"POLYGON((-80.2371427 25.7454863, -80.2375495 25.7454708, -80.2375484 25.7454473, -80.2371417 25.7454628, -80.2371427 25.7454863))",40713,Southwest 25th Street,left,40.8,6,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 25th Street (right),25.7455499,-80.2373494,"POLYGON((-80.2371455 25.7455459, -80.2375523 25.7455304, -80.2375533 25.7455539, -80.2371466 25.7455694, -80.2371455 25.7455459))",40713,Southwest 25th Street,right,40.8,6,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Terrace (left),25.7460574,-80.2394898,"POLYGON((-80.2385356 25.7460952, -80.2404448 25.7460430, -80.2404441 25.7460195, -80.2385348 25.7460717, -80.2385356 25.7460952))",40713,Southwest 24th Terrace,left,191.5,28,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Terrace (right),25.7461405,-80.2394926,"POLYGON((-80.2385376 25.7461549, -80.2404468 25.7461027, -80.2404476 25.7461262, -80.2385383 25.7461784, -80.2385376 25.7461549))",40713,Southwest 24th Terrace,right,191.5,28,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Street (left),25.7461576,-80.2531717,"POLYGON((-80.2521312 25.7462000, -80.2542130 25.7461386, -80.2542121 25.7461151, -80.2521303 25.7461765, -80.2521312 25.7462000))",40713,Southwest 24th Street,left,208.8,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Street (right),25.7462407,-80.2531746,"POLYGON((-80.2521333 25.7462597, -80.2542151 25.7461983, -80.2542160 25.7462218, -80.2521342 25.7462832, -80.2521333 25.7462597))",40713,Southwest 24th Street,right,208.8,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Street (left),25.7465648,-80.2394168,"POLYGON((-80.2383588 25.7466064, -80.2404755 25.7465467, -80.2404747 25.7465232, -80.2383580 25.7465829, -80.2383588 25.7466064))",40713,Southwest 24th Street,left,212.3,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 24th Street (right),25.7466480,-80.2394196,"POLYGON((-80.2383609 25.7466661, -80.2404776 25.7466064, -80.2404784 25.7466299, -80.2383617 25.7466896, -80.2383609 25.7466661))",40713,Southwest 24th Street,right,212.3,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Terrace (left),25.7470715,-80.2531069,"POLYGON((-80.2521721 25.7471119, -80.2540425 25.7470546, -80.2540417 25.7470311, -80.2521713 25.7470884, -80.2521721 25.7471119))",40713,Southwest 23rd Terrace,left,187.6,28,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Terrace (right),25.7471547,-80.2531100,"POLYGON((-80.2521744 25.7471716, -80.2540448 25.7471143, -80.2540456 25.7471378, -80.2521752 25.7471951, -80.2521744 25.7471716))",40713,Southwest 23rd Terrace,right,187.6,28,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Terrace (left),25.7474584,-80.2394445,"POLYGON((-80.2383922 25.7474993, -80.2404976 25.7474410, -80.2404968 25.7474174, -80.2383914 25.7474758, -80.2383922 25.7474993))",40713,Southwest 23rd Terrace,left,211.2,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Terrace (right),25.7475415,-80.2394473,"POLYGON((-80.2383942 25.7475589, -80.2404996 25.7475006, -80.2405004 25.7475241, -80.2383950 25.7475825, -80.2383942 25.7475589))",40713,Southwest 23rd Terrace,right,211.2,31,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Street (left),25.7480091,-80.2533791,"POLYGON((-80.2527350 25.7480408, -80.2540241 25.7480008, -80.2540232 25.7479773, -80.2527341 25.7480173, -80.2527350 25.7480408))",40713,Southwest 23rd Street,left,129.3,19,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Street (right),25.7480922,-80.2533823,"POLYGON((-80.2527373 25.7481005, -80.2540264 25.7480605, -80.2540273 25.7480840, -80.2527382 25.7481240, -80.2527373 25.7481005))",40713,Southwest 23rd Street,right,129.3,19,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Street (left),25.7484125,-80.2390809,"POLYGON((-80.2387829 25.7484310, -80.2393795 25.7484175, -80.2393789 25.7483940, -80.2387823 25.7484075, -80.2387829 25.7484310))",40713,Southwest 23rd Street,left,59.8,8,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Street (right),25.7484957,-80.2390832,"POLYGON((-80.2387846 25.7484907, -80.2393812 25.7484772, -80.2393818 25.7485007, -80.2387852 25.7485142, -80.2387846 25.7484907))",40713,Southwest 23rd Street,right,59.8,8,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Street (left),25.7486999,-80.2371503,"POLYGON((-80.2363808 25.7487384, -80.2379209 25.7486849, -80.2379199 25.7486614, -80.2363798 25.7487149, -80.2363808 25.7487384))",40713,Southwest 23rd Street,left,154.5,23,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 23rd Street (right),25.7487831,-80.2371539,"POLYGON((-80.2363833 25.7487981, -80.2379234 25.7487446, -80.2379244 25.7487681, -80.2363843 25.7488216, -80.2363833 25.7487981))",40713,Southwest 23rd Street,right,154.5,23,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 22nd Terrace (left),25.7494962,-80.2367315,"POLYGON((-80.2363495 25.7495211, -80.2371145 25.7494948, -80.2371135 25.7494713, -80.2363485 25.7494976, -80.2363495 25.7495211))",40713,Southwest 22nd Terrace,left,76.8,11,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40713 · Southwest 22nd Terrace (right),25.7495793,-80.2367350,"POLYGON((-80.2363520 25.7495807, -80.2371170 25.7495544, -80.2371180 25.7495779, -80.2363530 25.7496042, -80.2363520 25.7495807))",40713,Southwest 22nd Terrace,right,76.8,11,1.3,ASSUMED 3.3-5.9 m from centreline
